,customer_id,name,age,income,employment_status,region,signup_date,loan_amount,credit_score,late_payments,default_history,risk_score,risk_level,claim_id,incident_date,claim_amount,claim_status,claim_type,neg_claim_flag,debt_to_income_ratio,dti_category,credit_risk_category,customer_tenure_days
0,10000,Robert Ewing,69.0,40138.0,Employed,South,2017-11-30 19:40:00,,,,,,,53509.0,2023-04-10 04:58:54,7824.0,Approved,Other,False,0.0,Low,Very Low Risk,2833.0
1,10001,Kayla Adkins,32.0,42539.0,Self-Employed,Central,2018-11-01 22:22:00,4316.0,460.0,0.0,0.0,50.0,Low,50006.0,2020-05-04 07:26:35,8649.0,Rejected,Other,False,0.10145983685559135,Low,High Risk,2497.0
2,10002,Manuel Clark,78.0,55388.0,Self-Employed,Central,2019-02-28 11:56:00,,,,,,,63555.0,,7765.0,Rejected,Natural Disaster,False,0.0,Low,Very Low Risk,2378.0
3,10002,Manuel Clark,78.0,55388.0,Self-Employed,Central,2019-02-28 11:56:00,,,,,,,68894.0,,8832.0,Rejected,Natural Disaster,False,0.0,Low,Very Low Risk,1624.0
4,10003,Heather Carlson,38.0,53068.0,Self-Employed,East,2021-03-23 03:31:00,20330.0,765.0,4.0,0.0,72.0,Medium,,,,,,,0.3830933896133263,Medium,Very Low Risk,2913.0
5,10003,Heather Carlson,38.0,53068.0,Self-Employed,East,2021-03-23 03:31:00,22270.0,781.0,1.0,0.0,38.0,Low,,,,,,,0.41965026004371747,Medium,Very Low Risk,1345.0
6,10004,Eileen Bright,41.0,48737.0,Self-Employed,East,2017-09-11 03:27:00,21643.0,797.0,2.0,0.0,64.0,Medium,66043.0,,10504.0,Rejected,Theft,False,0.4440773949976404,Medium,Very Low Risk,3264.0
7,10004,Eileen Bright,41.0,48737.0,Self-Employed,East,2017-09-11 03:27:00,21643.0,797.0,2.0,0.0,64.0,Medium,66314.0,,9609.0,Under Review,Natural Disaster,False,0.4440773949976404,Medium,Very Low Risk,3800.0
8,10005,Debra Jones,20.0,48380.0,Student,East,2021-12-26 23:32:00,8164.0,846.0,1.0,0.0,58.0,Medium,,,,,,,0.1687474162877222,Low,Very Low Risk,2371.0
9,10005,Debra Jones,20.0,48380.0,Student,East,2021-12-26 23:32:00,14646.0,771.0,3.0,0.0,55.0,Medium,,,,,,,0.30272840016535757,Medium,Very Low Risk,3806.0
10,10005,Debra Jones,20.0,48380.0,Student,East,2021-12-26 23:32:00,11545.0,553.0,2.0,0.0,26.0,Low,,,,,,,0.23863166597767674,Medium,High Risk,1952.0
11,10005,Debra Jones,20.0,48380.0,Student,East,2021-12-26 23:32:00,14517.0,419.0,2.0,0.0,22.0,Low,,,,,,,0.30006200909466724,Medium,High Risk,1444.0
12,10006,Robert Cox,39.0,98642.0,Self-Employed,East,2016-09-25 16:46:00,8220.0,415.0,0.0,1.0,22.0,Low,55216.0,2019-02-23 18:01:34,7881.0,Approved,Other,False,0.08333164372174125,Low,High Risk,3300.0
13,10006,Robert Cox,39.0,98642.0,Self-Employed,East,2016-09-25 16:46:00,8220.0,415.0,0.0,1.0,22.0,Low,55328.0,2019-09-11 22:48:23,11381.0,Rejected,Theft,False,0.08333164372174125,Low,High Risk,3800.0
14,10006,Robert Cox,39.0,98642.0,Self-Employed,East,2016-09-25 16:46:00,8220.0,415.0,0.0,1.0,22.0,Low,64069.0,,3364.0,Under Review,Accident,True,0.08333164372174125,Low,High Risk,1656.0
15,10007,Paul Foster,70.0,74911.0,Retired,Central,2015-04-08 19:55:00,,,,,,,,,,,,,0.0,Low,Very Low Risk,3401.0
16,10008,Yvonne Black,19.0,62652.0,Self-Employed,Central,2019-03-07 15:12:00,,,,,,,,,,,,,0.0,Low,Very Low Risk,990.0
17,10009,Steven Benson,47.0,31618.0,Retired,East,2015-04-02 05:47:00,16200.0,536.0,3.0,0.0,86.0,High,,,,,,,0.512366373584667,High,High Risk,2798.0
18,10009,Steven Benson,47.0,31618.0,Retired,East,2015-04-02 05:47:00,9771.0,448.0,3.0,0.0,36.0,Low,,,,,,,0.30903282940097415,Medium,High Risk,3152.0
19,10010,John Daniels,55.0,48891.0,Student,Central,2020-04-29 03:17:00,9050.0,324.0,0.0,1.0,13.0,Low,,,,,,,0.18510564316540876,Low,High Risk,2835.0
20,10010,John Daniels,55.0,48891.0,Student,Central,2020-04-29 03:17:00,20787.0,844.0,2.0,1.0,61.0,Medium,,,,,,,0.42517027673804997,Medium,Very Low Risk,1193.0
21,10010,John Daniels,55.0,48891.0,Student,Central,2020-04-29 03:17:00,17693.0,637.0,0.0,0.0,85.0,High,,,,,,,0.3618866458039312,Medium,Moderate Risk,2329.0
22,10011,Kenneth Gould,19.0,59908.0,Retired,East,2021-09-19 15:26:00,17360.0,755.0,0.0,0.0,53.0,Medium,,,,,,,0.2897776590772518,Medium,Very Low Risk,2189.0
